,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HomeTeamMatchDay,AwayTeamMatchDay,HomeTeamGoalsScoredLast5,AwayTeamGoalsScoredLast5,HomeTeamGoalsConcededLast5,AwayTeamGoalsConcededLast5,HomeTeamUnBeatenStreak,AwayTeamUnBeatenStreak,HomeTeamPoints,AwayTeamPoints,HomeTeamLostLast,AwayTeamLostLast,HomeTeamGameNumber,AwayTeamGameNumber,ScoredAtHomeTeam5,ScoredAwayTeam5,HomeTeamAtHomeTeamPoints,AwayTeamFromHomeTeamPoints
16351,N1,Heerenveen,Go Ahead Eagles,2.0,2.0,D,1.44,4.5,6.5,12,12,6.0,8.0,8.0,14.0,0,0,5.0,6.0,0.0,0.0,6,6,9.0,8.0,10.0,7.0
16352,N1,Excelsior,Ajax,2.0,1.0,H,10.0,6.0,1.25,16,15,2.0,14.0,17.0,10.0,0,1,1.0,10.0,0.0,1.0,9,8,8.0,11.0,7.0,10.0
16353,D1,Cottbus,Werder Bremen,0.0,0.0,D,5.0,3.4,1.72,27,27,6.0,8.0,6.0,5.0,1,4,9.0,8.0,1.0,1.0,14,13,5.0,12.0,8.0,9.0
16354,F1,Montpellier,Lille,0.0,3.0,A,2.15,3.3,3.6,35,35,5.0,5.0,8.0,4.0,0,1,6.0,7.0,0.0,1.0,18,18,7.0,5.0,7.0,4.0
16355,F1,Lille,Nice,0.0,2.0,A,1.7,3.4,5.5,5,5,3.75,5.0,2.5,8.75,2,3,8.75,6.25,1.0,1.0,3,3,5.0,0.0,15.0,10.0
16356,F1,Lorient,Lens,1.0,0.0,H,2.35,2.9,3.4,33,33,4.0,6.0,4.0,11.0,1,0,6.0,2.0,1.0,0.0,17,17,4.0,6.0,8.0,4.0
16357,I1,Bologna,Benevento,3.0,0.0,H,1.7,3.6,5.5,21,21,5.0,5.0,12.0,7.0,0,2,3.0,6.0,0.0,1.0,11,10,7.0,2.0,4.0,1.0
16358,D1,Hoffenheim,Schalke 04,1.0,4.0,A,3.2,3.8,2.05,34,34,7.0,8.0,6.0,10.0,0,2,9.0,5.0,0.0,1.0,17,17,8.0,6.0,13.0,8.0
16359,F1,Dijon,Montpellier,3.0,3.0,D,2.6,3.0,3.0,8,8,8.0,4.0,8.0,9.0,1,0,7.0,3.0,1.0,0.0,5,4,8.75,5.0,8.75,8.333333333333334
16360,SP1,Levante,Valladolid,1.0,1.0,D,2.1,3.3,3.5,6,6,4.0,3.0,10.0,6.0,4,0,6.0,4.0,1.0,0.0,3,3,0.0,2.5,5.0,7.5
16361,D1,Hertha,Bayern Munich,1.0,1.0,D,10.0,4.33,1.36,21,21,5.0,10.0,7.0,3.0,0,9,6.0,13.0,0.0,1.0,10,11,8.0,10.0,12.0,11.0
16362,I1,Torino,Roma,1.0,1.0,D,4.0,3.5,1.91,11,11,8.0,12.0,11.0,0.0,1,10,3.0,15.0,1.0,1.0,6,6,9.0,11.0,6.0,15.0
